

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

124.956  000.186  000.096: require cmp_nvim_lsp
125.624  012.801  000.916: require plugins.lsp.sumneko
125.768  000.108  000.108: require lspconfig.server_configurations.tsserver
126.147  000.519  000.411: require plugins.lsp.tsserver
126.317  000.089  000.089: require lspconfig.server_configurations.terraformls
126.498  000.347  000.258: require plugins.lsp.terraform
126.620  000.086  000.086: require lspconfig.server_configurations.gopls
126.800  000.299  000.213: require plugins.lsp.gopls
126.930  000.084  000.084: require lspconfig.server_configurations.efm
126.962  000.158  000.075: require plugins.lsp.efm
127.566  000.144  000.144: require null-ls.methods
127.578  000.397  000.253: require null-ls.utils
127.751  000.674  000.277: require null-ls.config
127.887  000.067  000.067: require null-ls.helpers.cache
128.046  000.156  000.156: require null-ls.helpers.diagnostics
128.110  000.062  000.062: require null-ls.helpers.formatter_factory
128.420  000.084  000.084: require null-ls.logger
128.525  000.101  000.101: require null-ls.state
128.529  000.416  000.231: require null-ls.helpers.generator_factory
128.736  000.103  000.103: require null-ls.helpers.command_resolver
128.739  000.209  000.106: require null-ls.helpers.make_builtin
128.823  000.082  000.082: require null-ls.helpers.range_formatting_args_factory
128.826  001.072  000.080: require null-ls.helpers
129.173  000.147  000.147: require null-ls.diagnostics
129.181  000.354  000.206: require null-ls.sources
129.258  000.075  000.075: require null-ls.builtins
129.434  000.173  000.173: require null-ls.info
129.438  002.439  000.091: require null-ls
129.527  000.084  000.084: require null-ls.builtins.formatting.stylua
129.648  000.118  000.118: require null-ls.builtins.diagnostics.luacheck
129.833  000.181  000.181: require null-ls.builtins.code_actions.shellcheck
129.919  000.083  000.083: require null-ls.builtins.diagnostics.shellcheck
130.002  000.079  000.079: require null-ls.builtins.formatting.shfmt
130.084  000.078  000.078: require null-ls.builtins.code_actions.refactoring
130.217  000.130  000.130: require null-ls.builtins.code_actions.gitsigns
130.331  000.111  000.111: require null-ls.builtins.diagnostics.actionlint
130.881  000.180  000.180: require null-ls.client
131.109  004.144  000.660: require plugins.lsp.null-ls
131.289  000.176  000.176: require nvim_comment
131.666  000.183  000.183: require dap-go
132.195  000.134  000.134: require dap.utils
132.237  000.568  000.434: require dap
132.334  000.074  000.074: require plugins.nvim-tree
133.240  000.124  000.124: require nvim-tree.events
133.663  000.136  000.136: require nvim-tree.log
134.299  000.387  000.387: require notify
134.417  000.112  000.112: require nvim-tree.iterators.node-iterator
134.443  000.777  000.278: require nvim-tree.utils
134.589  000.144  000.144: require nvim-tree.git.utils
134.759  000.167  000.167: require nvim-tree.git.runner
134.885  000.124  000.124: require nvim-tree.watcher
134.892  001.544  000.196: require nvim-tree.git
135.010  000.117  000.117: require nvim-tree.explorer.watch
135.259  000.121  000.121: require nvim-tree.explorer.node-builders
135.367  000.105  000.105: require nvim-tree.explorer.common
135.517  000.148  000.148: require nvim-tree.explorer.sorters
135.635  000.116  000.116: require nvim-tree.explorer.filters
136.142  000.351  000.351: require nvim-tree.view
136.148  000.510  000.160: require nvim-tree.live-filter
136.152  001.140  000.140: require nvim-tree.explorer.explore
